city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
Toronto,Barrie,3,1,110km,125,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,,85
Toronto,Ottawa,3,1,449km,350,$51.50,12:30 AM,,6:20 AM,43.646652,-79.384396,45.408603,-75.695007,,,,,86
Toronto,North Bay ,3,1,357km,1095,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,,87
Toronto,Hastings Highlands,3,1,264km,975,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,,88
Toronto,London,3,2,194km,155,$25.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,,89
Toronto,Hamilton,3,2,68km,90,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,,90
Toronto,Greater Sudbury,3,2,400km,330,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,,91
Toronto,Kitchener ,3,2,107km,145,$12,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,,92
Toronto,Barrie,3,2,110km,125,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,,93
Toronto,Ottawa,3,2,449km,415,$41,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,,94
Toronto,North Bay ,3,2,357km,1095,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,,95
Toronto,Hastings Highlands,3,2,264km,975,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,,96
Toronto,London,3,3,194km,155,$33.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,,97
Toronto,Hamilton,3,3,68km,90,$13.70,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,,98
Toronto,Greater Sudbury,3,3,400km,330,$57.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,,99
Toronto,Kitchener ,3,3,107km,145,$18,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,,100
Toronto,Barrie,3,3,110km,125,$18,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,,101
Toronto,Ottawa,3,3,449km,415,$52,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,,102
Toronto,North Bay ,3,3,357km,1095,$105.90,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,,103
Toronto,Hastings Highlands,3,3,264km,975,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,,104
Toronto,London,3,4,194km,155,$25.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,,105
Toronto,Hamilton,3,4,68km,90,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,,106
Toronto,Greater Sudbury,3,4,400km,330,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,,107
Toronto,Kitchener ,3,4,107km,145,$12,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,,108
Toronto,Barrie,3,4,110km,125,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,,109
Toronto,Ottawa,3,4,449km,415,$41,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,,110
Toronto,North Bay ,3,4,357km,1095,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,,111
Toronto,Hastings Highlands,3,4,264km,975,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,,112
Toronto,London,3,5,194km,155,$33.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,,113
Toronto,Hamilton,3,5,68km,90,$13.70,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,,114
Toronto,Greater Sudbury,3,5,400km,330,$57.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,,115
Toronto,Kitchener ,3,5,107km,145,$18,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,,116
Toronto,Barrie,3,5,110km,125,$18,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,,117
Toronto,Ottawa,3,5,449km,415,$52,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,,118
Toronto,North Bay ,3,5,357km,1095,$105.90,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,,119
Toronto,Hastings Highlands,3,5,264km,975,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,,,,120
